Cidade,Latitude,Longitude,Preço Diesel (R$)
Alagoinhas,-12.1348,-38.4189,3.307
Barreiras,-12.1483,-44.9925,3.654
Brumado,-14.2036,-41.6653,3.646
Caetité,-14.0689,-42.475,3.688
Camaçari,-12.6975,-38.3242,3.358
Eunápolis,-16.378,-39.58,3.526
Feira de Santana,-12.2667,-38.9667,3.346
Guanambi,-14.2228,-42.7808,3.62
Ilhéus,-14.7935,-39.0464,3.761
Ipirá,-12.1583,-39.7372,3.304
Irecê,-11.2999,-41.8568,3.65
Itabuna,-14.788,-39.2784,3.599
Itamaraju,-17.0392,-39.5311,3.52
Jacobina,-11.1814,-40.5137,3.592
Jaguaquara,-13.5333,-39.9667,3.336
Jequié,-13.8505,-40.0851,3.597
Juazeiro,-9.42,-40.5028,3.668
Lauro de Freitas,-12.8939,-38.3269,3.27
Livramento de Nossa Senhora,-13.6428,-41.8408,3.721
Paulo Afonso,-9.4065,-38.2347,3.683
Poções,-14.5239,-40.3653,3.38
Porto Seguro,-16.4435,-39.0646,4.067
Salvador,-12.9714,-38.5014,3.399
Santo Antônio de Jesus,-12.9611,-39.2583,3.34
Senhor do Bonfim,-10.4597,-40.1897,3.481
Serrinha,-11.6647,-39.0089,3.443
Simões Filho,-12.7866,-38.4021,3.367
Teixeira de Freitas,-17.5399,-39.7426,3.545
Valença,-13.3667,-39.0667,3.532
Vitória da Conquista,-14.8616,-40.8442,3.291
Araguari,-18.6457,-48.1932,3.321
Belo Horizonte,-19.9167,-43.9345,3.471
Betim,-19.9673,-44.1984,3.408
Campo Belo,-20.8933,-45.2706,3.433
Contagem,-19.9317,-44.0533,3.393
Formiga,-20.4643,-45.4268,3.418
Governador Valadares,-18.8545,-41.9555,3.366
Guaxupé,-21.3056,-46.7122,3.446
Itabira,-19.6196,-43.2269,3.476
Ituiutaba,-18.9731,-49.4636,3.437
Juiz de Fora,-21.7595,-43.3398,3.307
Monte Carmelo,-18.7304,-47.4917,3.428
Montes Claros,-16.7282,-43.8578,3.458
Oliveira,-20.6982,-44.8295,3.361
Patos de Minas,-18.5783,-46.5184,3.526
Poços de Caldas,-21.7857,-46.5619,3.613
Pouso Alegre,-22.2309,-45.9369,3.453
Sete Lagoas,-19.4566,-44.2413,3.238
Teófilo Otoni,-17.8584,-41.5087,3.443
Três Corações,-21.6921,-45.2511,3.735
Uberaba,-19.7472,-47.9319,3.51
Uberlândia,-18.9186,-48.2772,3.476
Unaí,-16.3592,-46.9022,3.486
Varginha,-21.5556,-45.4364,3.511
Araxá,-19.5902,-46.9438,3.399
Barbacena,-21.2256,-43.7737,3.475
Divinópolis,-20.145,-44.8912,3.507
Ipatinga,-19.4703,-42.5476,3.483
Lavras,-21.245,-45.0009,3.774
Passos,-20.7185,-46.6097,3.657
Alfenas,-21.4256,-45.9478,3.624
Bom Despacho,-19.7387,-45.2629,3.249
Caratinga,-19.7866,-42.1292,3.429
Congonhas,-20.495,-43.8519,3.557
Conselheiro Lafaiete,-20.6636,-43.7856,3.629
Coronel Fabriciano,-19.5179,-42.6276,3.668
Curvelo,-18.7583,-44.43,3.288
Frutal,-20.0254,-48.9401,3.583
Itajubá,-22.4225,-45.4598,3.456
Itaúna,-20.0758,-44.5808,3.444
Janaúba,-15.8022,-43.3136,3.586
Januária,-15.4802,-44.3639,3.726
João Monlevade,-19.8126,-43.1739,3.421
João Pinheiro,-17.7391,-46.1715,3.533
Leopoldina,-21.5296,-42.6427,3.287
Manhuaçu,-20.2572,-42.0278,3.422
Muriaé,-21.1304,-42.3697,3.458
Nova Lima,-19.9853,-43.8462,3.724
Ouro Preto,-20.3858,-43.5036,3.72
Pará de Minas,-19.8606,-44.6112,3.526
Paracatu,-17.2252,-46.8711,3.656
Patrocínio,-18.9439,-46.9926,3.608
Sabará,-19.884,-43.8263,3.532
São João del-Rei,-21.1317,-44.2526,3.712
São Sebastião do Paraíso,-20.9181,-46.9831,3.529
Timóteo,-19.5829,-42.6474,3.459
Ubá,-21.1209,-42.9359,3.545
